site_code,config_id,antenna_id,node,start_date,end_date,site_type,site_name,antenna_group,site_description,site_type_name,rkm,rkm_total,latitude,longitude
15R,100,E3,15RA0,2011-05-10T00:00:00Z,2018-04-04T18:00:00Z,INT,Fifteenmile Ck at Ramsey Ck,Upstream Fifteenmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND RAMSEY CREEK, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION FOR THIS SITE CONSISTS OF TWO ARRAYS EACH ON RAMSEY AND FIFTEENMILE CREEKS SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ARRAYS ON RAMSEY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR-POWERED AND OPERATES YEAR-ROUND. LOCATED ON PRIVATE LAND. Site was removed in April 2018",Instream Remote Detection System,309.056,365,45.433719,-121.217211
15R,100,E4,15RA0,2011-05-10T00:00:00Z,2018-04-04T18:00:00Z,INT,Fifteenmile Ck at Ramsey Ck,Upstream Fifteenmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND RAMSEY CREEK, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION FOR THIS SITE CONSISTS OF TWO ARRAYS EACH ON RAMSEY AND FIFTEENMILE CREEKS SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ARRAYS ON RAMSEY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR-POWERED AND OPERATES YEAR-ROUND. LOCATED ON PRIVATE LAND. Site was removed in April 2018",Instream Remote Detection System,309.056,365,45.433719,-121.217211
15R,100,E5,15RB0,2011-05-10T00:00:00Z,2018-04-04T18:00:00Z,INT,Fifteenmile Ck at Ramsey Ck,Downstream Fifteenmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND RAMSEY CREEK, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION FOR THIS SITE CONSISTS OF TWO ARRAYS EACH ON RAMSEY AND FIFTEENMILE CREEKS SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ARRAYS ON RAMSEY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR-POWERED AND OPERATES YEAR-ROUND. LOCATED ON PRIVATE LAND. Site was removed in April 2018",Instream Remote Detection System,309.056,365,45.433719,-121.217211
15R,100,E6,15RB0,2011-05-10T00:00:00Z,2018-04-04T18:00:00Z,INT,Fifteenmile Ck at Ramsey Ck,Downstream Fifteenmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND RAMSEY CREEK, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION FOR THIS SITE CONSISTS OF TWO ARRAYS EACH ON RAMSEY AND FIFTEENMILE CREEKS SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ARRAYS ON RAMSEY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR-POWERED AND OPERATES YEAR-ROUND. LOCATED ON PRIVATE LAND. Site was removed in April 2018",Instream Remote Detection System,309.056,365,45.433719,-121.217211
18M,100,01,HECA0,2014-05-01T00:00:00Z,2015-11-26T00:00:00Z,INT,Eighteenmile Creek,Upstream Array,"An in-stream detection system on Eighteenmile Creek located approximately 300 meters upstream from the confluence with Texas Creek to form the Lemhi River.  This detection system is comprised of two arrays installed serially with one 10 ft. ABS antenna at each array location.  18M is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed in the summer of 2014.  The site is powered by batteries banks that are charged by solar panels next to the control box and communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.",Instream Remote Detection System,522.303.416.092.001,1334,44.682795,-113.35366
18M,100,02,HECA0,2014-05-01T00:00:00Z,2015-11-26T00:00:00Z,INT,Eighteenmile Creek,Middle Array,"An in-stream detection system on Eighteenmile Creek located approximately 300 meters upstream from the confluence with Texas Creek to form the Lemhi River.  This detection system is comprised of two arrays installed serially with one 10 ft. ABS antenna at each array location.  18M is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed in the summer of 2014.  The site is powered by batteries banks that are charged by solar panels next to the control box and communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.",Instream Remote Detection System,522.303.416.092.001,1334,44.682795,-113.35366
18M,100,03,HECB0,2014-05-01T00:00:00Z,2015-11-26T00:00:00Z,INT,Eighteenmile Creek,Downstream Array,"An in-stream detection system on Eighteenmile Creek located approximately 300 meters upstream from the confluence with Texas Creek to form the Lemhi River.  This detection system is comprised of two arrays installed serially with one 10 ft. ABS antenna at each array location.  18M is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed in the summer of 2014.  The site is powered by batteries banks that are charged by solar panels next to the control box and communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.",Instream Remote Detection System,522.303.416.092.001,1334,44.682795,-113.35366
18M,110,01,HECA0,2017-05-04T00:00:00Z,NA,INT,Eighteenmile Creek,Upstream Antenna,"An in-stream detection system on Eighteenmile Creek located approximately 300 meters upstream from the confluence with Texas Creek to form the Lemhi River.  This detection system is comprised of two arrays installed serially with one 10 ft. ABS antenna at each array location.  18M is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed in the summer of 2014.  The site is powered by batteries banks that are charged by solar panels next to the control box and communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.",Instream Remote Detection System,522.303.416.092.001,1334,44.682795,-113.35366
18M,110,02,HECB0,2017-05-04T00:00:00Z,NA,INT,Eighteenmile Creek,Downstream Antenna,"An in-stream detection system on Eighteenmile Creek located approximately 300 meters upstream from the confluence with Texas Creek to form the Lemhi River.  This detection system is comprised of two arrays installed serially with one 10 ft. ABS antenna at each array location.  18M is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed in the summer of 2014.  The site is powered by batteries banks that are charged by solar panels next to the control box and communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.",Instream Remote Detection System,522.303.416.092.001,1334,44.682795,-113.35366
18N,100,A1,18NA0,2015-11-02T00:00:00Z,2019-12-09T00:00:00Z,INT,1890s Channel Methow River,Upstream Array,This is a passive in-stream interrogation consisting of 3 channel spanning antennas.  The array is located near the confluence of the Methow River at river km 67. Site is no longer active.,Instream Remote Detection System,843.067.000,910,48.373079,-120.12264
18N,100,A2,18NA0,2015-11-02T00:00:00Z,2019-12-09T00:00:00Z,INT,1890s Channel Methow River,Middle Array,This is a passive in-stream interrogation consisting of 3 channel spanning antennas.  The array is located near the confluence of the Methow River at river km 67. Site is no longer active.,Instream Remote Detection System,843.067.000,910,48.373079,-120.12264
18N,100,A3,18NB0,2015-11-02T00:00:00Z,2019-12-09T00:00:00Z,INT,1890s Channel Methow River,Downstream Array,This is a passive in-stream interrogation consisting of 3 channel spanning antennas.  The array is located near the confluence of the Methow River at river km 67. Site is no longer active.,Instream Remote Detection System,843.067.000,910,48.373079,-120.12264
1BC,100,01,1BCB0,2019-05-14T00:00:00Z,2019-12-18T00:00:00Z,INT,"Upper Big Creek, Yakima Basin",Downstream Antenna,Upper Big Creek antennas are located South West of the I-90 just up stream of Kittitas Reclamation District (KRD) supplementation and below KRD Canal. The antennas are two pass throughs located approximately 30 feet from one another spanning Big Creek.,Instream Remote Detection System,539.315.002,856,47.200828,-121.115768
1BC,100,02,1BCA0,2019-05-14T00:00:00Z,2019-12-18T00:00:00Z,INT,"Upper Big Creek, Yakima Basin",Upstream Antenna,Upper Big Creek antennas are located South West of the I-90 just up stream of Kittitas Reclamation District (KRD) supplementation and below KRD Canal. The antennas are two pass throughs located approximately 30 feet from one another spanning Big Creek.,Instream Remote Detection System,539.315.002,856,47.200828,-121.115768
1BC,110,01,1BCA0,2019-12-18T00:00:00Z,NA,INT,"Upper Big Creek, Yakima Basin",Upstream Antenna,Upper Big Creek antennas are located South West of the I-90 just up stream of Kittitas Reclamation District (KRD) supplementation and below KRD Canal. The antennas are two pass throughs located approximately 30 feet from one another spanning Big Creek.,Instream Remote Detection System,539.315.002,856,47.200828,-121.115768
1BC,110,02,1BCB0,2019-12-18T00:00:00Z,NA,INT,"Upper Big Creek, Yakima Basin",Downstream Antenna,Upper Big Creek antennas are located South West of the I-90 just up stream of Kittitas Reclamation District (KRD) supplementation and below KRD Canal. The antennas are two pass throughs located approximately 30 feet from one another spanning Big Creek.,Instream Remote Detection System,539.315.002,856,47.200828,-121.115768
1LC,100,01,1LCB0,2019-05-15T00:00:00Z,2019-12-30T00:00:00Z,INT,"Upper Little Creek, Yakima",Downstream Antenna,"Upper Little Creek antennas are located South West of I-90 just up stream of the Yakima River Confluence. These antennas are located just above the Kittitas Reclamation District (KRD) Canal and water Supplementaion influence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Little Creek.",Instream Remote Detection System,539.313.002,854,47.193131,-121.096759
1LC,100,02,1LCA0,2019-05-15T00:00:00Z,2019-12-30T00:00:00Z,INT,"Upper Little Creek, Yakima",Upstream Antenna,"Upper Little Creek antennas are located South West of I-90 just up stream of the Yakima River Confluence. These antennas are located just above the Kittitas Reclamation District (KRD) Canal and water Supplementaion influence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Little Creek.",Instream Remote Detection System,539.313.002,854,47.193131,-121.096759
1LC,110,01,1LCA0,2019-12-30T00:00:00Z,NA,INT,"Upper Little Creek, Yakima",Upstream Antenna,"Upper Little Creek antennas are located South West of I-90 just up stream of the Yakima River Confluence. These antennas are located just above the Kittitas Reclamation District (KRD) Canal and water Supplementaion influence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Little Creek.",Instream Remote Detection System,539.313.002,854,47.193131,-121.096759
1LC,110,02,1LCB0,2019-12-30T00:00:00Z,NA,INT,"Upper Little Creek, Yakima",Downstream Antenna,"Upper Little Creek antennas are located South West of I-90 just up stream of the Yakima River Confluence. These antennas are located just above the Kittitas Reclamation District (KRD) Canal and water Supplementaion influence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Little Creek.",Instream Remote Detection System,539.313.002,854,47.193131,-121.096759
2BC,100,03,2BCB0,2019-05-14T00:00:00Z,2019-12-18T00:00:00Z,INT,"Lower Big Creek, Yakima Basin",Downstream Antenna,"Lower Big Creek antennas are located just North East of I-90 just up stream of the Yakima River Confluence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Big creek.",Instream Remote Detection System,539.315.001,855,47.21294,-121.103203
2BC,100,04,2BCA0,2019-05-14T00:00:00Z,2019-12-18T00:00:00Z,INT,"Lower Big Creek, Yakima Basin",Upstream Antenna,"Lower Big Creek antennas are located just North East of I-90 just up stream of the Yakima River Confluence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Big creek.",Instream Remote Detection System,539.315.001,855,47.21294,-121.103203
2BC,110,03,2BCA0,2019-12-18T00:00:00Z,NA,INT,"Lower Big Creek, Yakima Basin",Upstream Antenna,"Lower Big Creek antennas are located just North East of I-90 just up stream of the Yakima River Confluence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Big creek.",Instream Remote Detection System,539.315.001,855,47.21294,-121.103203
2BC,110,04,2BCB0,2019-12-18T00:00:00Z,NA,INT,"Lower Big Creek, Yakima Basin",Downstream Antenna,"Lower Big Creek antennas are located just North East of I-90 just up stream of the Yakima River Confluence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Big creek.",Instream Remote Detection System,539.315.001,855,47.21294,-121.103203
2LC,100,03,2LCB0,2019-05-15T00:00:00Z,2019-12-30T00:00:00Z,INT,"Lower Little Creek, Yakima",Downstream Antenna,"Lower Little Creek antennas are located North of I-90 just up stream of the Yakima River Confluence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Little Creek. The site is solar powered with 4 6V batteries powering two IS1001 standalone antennas that are both exciter and timer synched.",Instream Remote Detection System,539.313.000,852,47.204615,-121.080405
2LC,100,04,2LCA0,2019-05-15T00:00:00Z,2019-12-30T00:00:00Z,INT,"Lower Little Creek, Yakima",Upstream Antenna,"Lower Little Creek antennas are located North of I-90 just up stream of the Yakima River Confluence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Little Creek. The site is solar powered with 4 6V batteries powering two IS1001 standalone antennas that are both exciter and timer synched.",Instream Remote Detection System,539.313.000,852,47.204615,-121.080405
2LC,110,03,2LCA0,2019-12-30T00:00:00Z,NA,INT,"Lower Little Creek, Yakima",Upstream Antenna,"Lower Little Creek antennas are located North of I-90 just up stream of the Yakima River Confluence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Little Creek. The site is solar powered with 4 6V batteries powering two IS1001 standalone antennas that are both exciter and timer synched.",Instream Remote Detection System,539.313.000,852,47.204615,-121.080405
2LC,110,04,2LCB0,2019-12-30T00:00:00Z,NA,INT,"Lower Little Creek, Yakima",Downstream Antenna,"Lower Little Creek antennas are located North of I-90 just up stream of the Yakima River Confluence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Little Creek. The site is solar powered with 4 6V batteries powering two IS1001 standalone antennas that are both exciter and timer synched.",Instream Remote Detection System,539.313.000,852,47.204615,-121.080405
30M,100,01,30MA0,2016-04-01T00:00:00Z,NA,INT,Thirtymile Crk John Day Basin,Upstream Array,"This site is located at rkm 0.5 on Thirtymile Creek (30ML2C), a tributarty to the John Day River.  The 30M array consists of two 20 ft BioLite antennas which are spaced up and downstream by 10 m to provide directionality of detection.  The antennas are driven by IS1001 ACNs, which are daisy-chained from one port of an IS1001-MC.  The 30M array is powered by a bank of 6 solar panels tied to 4 250ah batteries (connected in series and parallel).  The 30M array is manually downloaded at least monthly during the migration season (October to May), and at least every other month during June to September.",Instream Remote Detection System,351.134.001,486,45.162073,-120.465021
